date,na,open,high,low,close,volume
2017.01.23,0:00,1.05205,1.05455,1.04732,1.04796,118336
2017.01.24,0:00,1.0475,1.04915,1.04391,1.04521,110848
2017.01.25,0:00,1.04441,1.0468,1.0364,1.03653,128153
2017.01.26,0:00,1.03667,1.04246,1.03544,1.03933,106454
2017.01.27,0:00,1.0382,1.04058,1.03681,1.03716,102808
2017.01.30,0:00,1.03784,1.04157,1.0361,1.03631,84527
2017.01.31,0:00,1.03515,1.03878,1.03195,1.03655,108446
2017.02.01,0:00,1.03681,1.04372,1.03644,1.04141,105234
2017.02.02,0:00,1.04034,1.05156,1.04034,1.05,113173
2017.02.03,0:00,1.04863,1.05285,1.0482,1.04831,112260
2017.02.06,0:00,1.04842,1.05017,1.04557,1.04572,82459
2017.02.07,0:00,1.0442,1.04634,1.03768,1.04409,94707
2017.02.08,0:00,1.04389,1.05286,1.04273,1.05213,95411
2017.02.09,0:00,1.05199,1.06295,1.05051,1.06034,95215
2017.02.10,0:00,1.06027,1.06733,1.05932,1.06396,83366
2017.02.13,0:00,1.06428,1.06773,1.06312,1.06426,65611
2017.02.14,0:00,1.06412,1.07004,1.06284,1.06864,89103
2017.02.15,0:00,1.06864,1.07058,1.06627,1.06694,88414
2017.02.16,0:00,1.06705,1.06941,1.06336,1.06602,100819
2017.02.17,0:00,1.06585,1.0708,1.0648,1.06528,80438
2017.02.20,0:00,1.06452,1.07018,1.06435,1.06834,53505
2017.02.21,0:00,1.06889,1.07368,1.06818,1.07138,65356
2017.02.22,0:00,1.07129,1.07473,1.07056,1.07081,74043
2017.02.23,0:00,1.07078,1.07208,1.06592,1.06653,76434
2017.02.24,0:00,1.06667,1.06871,1.06327,1.06346,64415
2017.02.27,0:00,1.06543,1.06906,1.06448,1.06642,66219
2017.02.28,0:00,1.06587,1.0697,1.06154,1.06394,79669
2017.03.01,0:00,1.06402,1.07648,1.06282,1.07366,127917
2017.03.02,0:00,1.07345,1.07647,1.06974,1.07174,95085
2017.03.03,0:00,1.07171,1.07939,1.07119,1.07642,112102
2017.03.06,0:00,1.07901,1.08414,1.07769,1.08335,84099
2017.03.07,0:00,1.08315,1.09142,1.0831,1.09034,92101
2017.03.08,0:00,1.09034,1.09248,1.08742,1.08841,95755
2017.03.09,0:00,1.08809,1.09061,1.08584,1.08729,100630
2017.03.10,0:00,1.08721,1.08986,1.08599,1.08768,98195
2017.03.13,0:00,1.08601,1.09461,1.08599,1.09317,74613
2017.03.14,0:00,1.093,1.09444,1.09066,1.09212,76772
2017.03.15,0:00,1.09202,1.09587,1.08914,1.09382,117337
2017.03.16,0:00,1.0936,1.10181,1.0929,1.09862,118827
2017.03.17,0:00,1.09845,1.10013,1.09522,1.09726,87403
2017.03.20,0:00,1.09455,1.09785,1.09375,1.09557,72572
2017.03.21,0:00,1.09525,1.09702,1.0915,1.09176,90662
2017.03.22,0:00,1.09122,1.09192,1.08564,1.08946,94033
2017.03.23,0:00,1.08939,1.09081,1.08227,1.08486,82414
2017.03.24,0:00,1.08475,1.08861,1.08286,1.08408,74213
2017.03.27,0:00,1.08342,1.08527,1.07917,1.08101,71400
2017.03.28,0:00,1.0803,1.08955,1.08011,1.0879,73380
2017.03.29,0:00,1.08801,1.09235,1.08775,1.08999,67152
2017.03.30,0:00,1.08937,1.09434,1.08855,1.09207,67188
